image_id,building,number,path,split,main_visual_space,expected_annotation_extent,ambiguity_and_information,n_people_any,n_people_unassisted,n_people_manual_included,n_people_model_assisted,n_current20_manual,n_current20_any_seen,n_current20_no_record,max_current20_without_reusing_seen_nonmanual,naive_historical_topup_to20,nominal_current20_topup,n_current20_seen_nonmanual,current20_manual_workers,current20_no_record_workers,current20_seen_nonmanual_workers,coarse_type,coarse_label_provenance,boundary_label,user_doorway_group_codes,group_codes,exposure_interpretation
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,10,data/mp3d_layout/test/img/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,test,马画卧室套卫,浴缸、洗手台、马桶围合,门外卧室另有边界,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G055,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,UwV83HsGsw3,11,data/mp3d_layout/test/img/UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623.png,test,淋浴外侧衣帽间,金属架与面向玻璃淋浴门的围合,与05架型类似但门外设施方向不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G053,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,12,data/mp3d_layout/test/img/UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de.png,test,马画卧室床尾,02卧室范围,镜面、大玻璃门、床遮挡,11,7,6,4,4,8,12,16,14,16,4,1;13;30;35,2;6;8;10;11;12;15;17;28;32;33;36,29;31;34;37,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G051,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98,UwV83HsGsw3,13,data/mp3d_layout/test/img/UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98.png,test,主卫外侧衣帽间近门,05金属架室范围,近门看见更多双洗手台和中墙,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,user_reviewed_disagreement_subset,暂不归入,,G054,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77,UwV83HsGsw3,14,data/mp3d_layout/test/img/UwV83HsGsw3_a7ae0b7c2c574b4a843af1be0c808f77.png,test,抽象画卧室镜柜侧,04卧室范围,镜面遮挡，窗墙明确,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G052,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186,UwV83HsGsw3,15,data/mp3d_layout/test/img/UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186.png,test,楼梯平台,木饰面梯段和平台范围,高差不能当同层空间,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,16,data/mp3d_layout/test/img/UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc.png,test,起居端近沙发,01沙发、电视壁炉端的围合,近家具及弧形墙，餐厨端远小,5,5,5,0,4,4,16,20,15,16,0,12;28;29;36,1;2;6;8;10;11;13;15;17;30;31;32;33;34;35;37,,,prior_discussion,,,G049,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,17,data/mp3d_layout/test/img/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.png,test,独立小卫浴,彩色画、淋浴和马桶围合,外部起居可见，不是10的套卫,23,23,23,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_bca9a4ce9c82463c97dea098ccfae7a0,UwV83HsGsw3,18,data/mp3d_layout/test/img/UwV83HsGsw3_bca9a4ce9c82463c97dea098ccfae7a0.png,test,抽象画卧室套卫,海浪画、淋浴、洗手台围合,门后04卧室另有边界,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G055,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6,UwV83HsGsw3,19,data/mp3d_layout/test/img/UwV83HsGsw3_c3d8db2f8817403e88c7d96e96ebd9b6.png,test,马画卧室庭院门侧,02卧室范围,近镜柜及庭院门,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G051,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8,UwV83HsGsw3,20,data/mp3d_layout/test/img/UwV83HsGsw3_cfd92c05e31846e89144f7b2bb8e59a8.png,test,抽象画卧室浴室门附近,04卧室与18浴室可见范围,卧室两侧与浴室中央同时突出,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G052;G056,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f,UwV83HsGsw3,21,data/mp3d_layout/test/img/UwV83HsGsw3_cfe01e0f074a4a2cb892c6052bce550f.png,test,马画卧室床边,02卧室范围,近床遮挡，整体边界仍对应,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G051,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,22,data/mp3d_layout/test/img/UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980.png,test,马画卧室入口段,02卧室入口与外走廊,入口墙占比大、完整卧室较远,5,5,5,0,5,5,15,20,15,15,0,11;30;31;32;33,1;2;6;8;10;12;13;15;17;28;29;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G051;G056,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,UwV83HsGsw3,23,data/mp3d_layout/test/img/UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407.png,test,起居端入口近墙,01白沙发与壁炉范围,近实体墙遮掉半幅，厨房信息大幅减少,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,,prior_discussion,,,G049,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,VFuaQ6m2Qom,1,data/mp3d_layout/valid/img/VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a.png,valid,中央椭圆浴缸主卫,双洗手台、玻璃淋浴及法式窗围合,两侧小厕位开口、镜面与淋浴玻璃,2,2,2,0,2,2,18,20,18,18,0,30;31,1;2;6;8;10;11;12;13;15;17;28;29;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057;G058,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4,VFuaQ6m2Qom,2,data/mp3d_layout/valid/img/VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4.png,valid,主卫近法式窗,01主卫围合,门外木地板过道次要,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,VFuaQ6m2Qom,3,data/mp3d_layout/valid/img/VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e.png,valid,白床卧室,卷帘窗、床、电视及两侧门围合,床遮挡与门外洗手区,2,2,2,0,2,2,18,20,18,18,0,36;37,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G059,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,VFuaQ6m2Qom,4,data/mp3d_layout/valid/img/VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85.png,valid,主卫浴缸窗侧,01主卫围合,玻璃及厕位开口,7,7,7,0,7,7,13,20,13,13,0,10;17;30;31;32;33;34,1;2;6;8;11;12;13;15;28;29;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916,VFuaQ6m2Qom,5,data/mp3d_layout/valid/img/VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916.png,valid,白床卧室床侧,03卧室围合,近床遮挡墙脚,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G059,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_93510fabb581438887c1d3e65093b7ae,VFuaQ6m2Qom,6,data/mp3d_layout/valid/img/VFuaQ6m2Qom_93510fabb581438887c1d3e65093b7ae.png,valid,白床卧室窗侧,03卧室围合,床后及门口遮挡不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G059,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,VFuaQ6m2Qom,7,data/mp3d_layout/valid/img/VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d.png,valid,主卫近淋浴,01主卫围合,淋浴玻璃及两侧厕位更显著,20,20,19,0,19,20,0,19,1,1,1,1;2;6;8;10;11;12;13;15;17;29;30;31;32;33;34;35;36;37,,28,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_b6ab88125f984cda94011fef788e23d0,VFuaQ6m2Qom,8,data/mp3d_layout/valid/img/VFuaQ6m2Qom_b6ab88125f984cda94011fef788e23d0.png,valid,花玻璃门外过道,主卫外木地板通道,门内外空间不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G058;G060,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_f04a58b9c4ff4e448b5a4da4fd823a9c,VFuaQ6m2Qom,9,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f04a58b9c4ff4e448b5a4da4fd823a9c.png,valid,低层楼梯旁走廊,梯段与下层走廊,高差且不同于08上层入口,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,通行与连接,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G060,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,VFuaQ6m2Qom,10,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8.png,valid,主卫洗手台侧,01主卫围合,近台面镜面遮挡,5,5,5,0,5,5,15,20,15,15,0,11;30;31;35;37,1;2;6;8;10;12;13;15;17;28;29;32;33;34;36,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VFuaQ6m2Qom_f75a440593bb4140b899730917096859,VFuaQ6m2Qom,11,data/mp3d_layout/valid/img/VFuaQ6m2Qom_f75a440593bb4140b899730917096859.png,valid,主卫近入口,主卫与门外过道可见范围,开门洞较突出，主卫仍完整,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G057,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VLzqgDo317F_35299a16cf1e447da4c15c443929c27a,VLzqgDo317F,1,data/mp3d_layout/valid/img/VLzqgDo317F_35299a16cf1e447da4c15c443929c27a.png,valid,花沙发会客室,多窗、绿色玻璃门、壁炉及拼花地板围合,镜面和多开口，不自动包含串联房间,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G061;G062,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VLzqgDo317F_5d3591edd7c546acaf99db40281b3409,VLzqgDo317F,2,data/mp3d_layout/valid/img/VLzqgDo317F_5d3591edd7c546acaf99db40281b3409.png,valid,蓝红地毯会客室及门侧,有大地毯的独立会客室范围,两侧大门连接其他厅室,2,2,2,0,2,2,18,20,18,18,0,13;15,1;2;6;8;10;11;12;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G061,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
VLzqgDo317F_79ee9be0827a4de19da5b3e475e3ae0a,VLzqgDo317F,3,data/mp3d_layout/valid/img/VLzqgDo317F_79ee9be0827a4de19da5b3e475e3ae0a.png,valid,花沙发室入口段,01会客室可见范围与入口通道,近门墙、绳栏、门洞使范围信息不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G062,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_0595477618f44940b004970372df16dc,X7HyMhZNoso,1,data/mp3d_layout/test/img/X7HyMhZNoso_0595477618f44940b004970372df16dc.png,test,楼梯平台与卧室门外走道,平台围合及楼梯开口边界,栏杆、高差及门外卧室信息不同于卧室内部,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,prior_discussion,,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583,X7HyMhZNoso,2,data/mp3d_layout/test/img/X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583.png,test,条纹床头主卧,主卧床区到房门/衣帽门的围合,床遮挡下沿，衣帽间深处可见,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G063,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_0e8aea225d0942f494fd2255f49eb314,X7HyMhZNoso,3,data/mp3d_layout/test/img/X7HyMhZNoso_0e8aea225d0942f494fd2255f49eb314.png,test,黄色床品小卧室,卧室本体，衣帽门处可截断,床遮挡部分角点,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G064;G065,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,X7HyMhZNoso,4,data/mp3d_layout/test/img/X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268.png,test,开放布局沙发区,沙发区至连续餐厨的范围存在多种解释,电视隔墙与远处厨房形成范围差,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G066,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,X7HyMhZNoso,5,data/mp3d_layout/test/img/X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a.png,test,空置卧室,窗墙、衣柜墙和入口组成的空房围合,空房无遮挡，柜面与墙面需区分,26,0,0,26,0,20,0,0,20,20,20,,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,无法判断,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G067,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc,X7HyMhZNoso,6,data/mp3d_layout/test/img/X7HyMhZNoso_29a5eef6980d4798bcc58e4c96e198cc.png,test,小如厕洗手间,房内盆厕边界至入口,门外台阶可见，不能自动纳入,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,7,data/mp3d_layout/test/img/X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302.png,test,开放布局餐桌区,餐桌附近与连续厨房范围,岛台和电视墙遮挡远处起居,5,5,5,0,5,5,15,20,15,15,0,6;8;17;31;32,1;2;10;11;12;13;15;28;29;30;33;34;35;36;37,,开放复合空间,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G066,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c,X7HyMhZNoso,8,data/mp3d_layout/test/img/X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c.png,test,独立客厅,客厅窗墙及宽入口的围合,沙发遮挡低位墙角,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G068,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5,X7HyMhZNoso,9,data/mp3d_layout/test/img/X7HyMhZNoso_2fa0da1a66e04428b315cb93b72143d5.png,test,带浴缸天窗主卫,浴缸、盆厕、淋浴组成主卫,淋浴门及侧墙遮挡不同器具,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G069;G070,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f,X7HyMhZNoso,10,data/mp3d_layout/test/img/X7HyMhZNoso_3cafb1bfb9084df995fff71810d7693f.png,test,白床小卧室,床区与衣帽门间卧室范围,床与衣柜口，横条窗与黄色卧室不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G064;G071,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_445ae0203f294b5c9889505576e37998,X7HyMhZNoso,11,data/mp3d_layout/test/img/X7HyMhZNoso_445ae0203f294b5c9889505576e37998.png,test,独立客厅入口侧,客厅本体，可见外侧玄关,比08更靠宽口但主体完整,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G068,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9,X7HyMhZNoso,12,data/mp3d_layout/test/img/X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9.png,test,独立客厅电视侧,同客厅窗墙及入口范围,电视遮挡局部下沿,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G068,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,13,data/mp3d_layout/test/img/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.png,test,无浴缸淋浴主卫,台盆马桶和淋浴隔区的围合,淋浴玻璃与卧室外侧可见,26,26,25,0,20,20,0,20,0,0,0,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G069;G072,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20,X7HyMhZNoso,14,data/mp3d_layout/test/img/X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20.png,test,黄色床品小卧室入口侧,同黄色卧室范围,比03更多门外楼梯信息,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,近交界暂不归入,,G065;G073,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,X7HyMhZNoso,15,data/mp3d_layout/test/img/X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35.png,test,开放布局厨房及餐桌,餐厨连续区，远处沙发区有隔墙,岛台遮挡下沿，空间范围解释多,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,开放复合空间,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G066,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_a830b673f439458aa54a716194d972b7,X7HyMhZNoso,16,data/mp3d_layout/test/img/X7HyMhZNoso_a830b673f439458aa54a716194d972b7.png,test,黄色卧室衣帽间,小衣帽间柜墙到卧室门,室内衣柜占围合，卧室仅门外可见,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_b1e740fa45384144b55ef6675440756b,X7HyMhZNoso,17,data/mp3d_layout/test/img/X7HyMhZNoso_b1e740fa45384144b55ef6675440756b.png,test,洗衣房,家务间固定柜墙至房门,机柜遮挡下沿,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_b6bb4e844c5b43ad92904f258660bcaf,X7HyMhZNoso,18,data/mp3d_layout/test/img/X7HyMhZNoso_b6bb4e844c5b43ad92904f258660bcaf.png,test,淋浴主卫淋浴侧,淋浴隔区或整间主卫皆有范围解释,相较13淋浴墙和玻璃主导，信息明显变,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G072,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,19,data/mp3d_layout/test/img/X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9.png,test,带浴缸天窗主卫中心,同带浴缸主卫整体围合,支撑/窄墙、淋浴隔断影响角点,9,5,5,4,5,9,11,16,15,15,4,11;15;33;34;37,6;8;10;12;13;29;30;31;32;35;36,1;2;17;28,卫浴,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G070,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_cd608227f6c94b91af3db8bf6cd28abd,X7HyMhZNoso,20,data/mp3d_layout/test/img/X7HyMhZNoso_cd608227f6c94b91af3db8bf6cd28abd.png,test,主卧衣帽通道,衣柜通道至卧室和卫浴口,两端跨门范围与主卧本体不同,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,储藏与家务辅助,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_e40ff9839f0b4a35a25e9dc16d391ae4,X7HyMhZNoso,21,data/mp3d_layout/test/img/X7HyMhZNoso_e40ff9839f0b4a35a25e9dc16d391ae4.png,test,条纹床头主卧入口侧,主卧整体围合,楼梯外侧可见多于02,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G063,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329,X7HyMhZNoso,22,data/mp3d_layout/test/img/X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329.png,test,条纹床头主卧窗边,同主卧整体围合,贴床窗边但主要墙窗仍对应,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,卧室,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G063,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b,X7HyMhZNoso,23,data/mp3d_layout/test/img/X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b.png,test,独立客厅窗侧,同客厅主体,侧墙近镜头，电视/沙发遮挡角点,0,0,0,0,0,0,20,20,20,20,0,,1;2;6;8;10;11;12;13;15;17;28;29;30;31;32;33;34;35;36;37,,起居与休闲,ai_or_legacy_not_personally_reviewed_this_round,暂不归入,,G068,absence_from_canonical_snapshot_is_not_proof_of_never_exposed
