stage,stage_zh,grouping,group_value,condition,condition_zh,base_task_id,worker_id,building_id,n,missing,rate,jeffreys_lower,jeffreys_upper,missing_definition
C1,校准一阶段,condition,manual,manual,纯人工,,,,674,67,0.09940652818991098,0.07853469086255234,0.12370888783146229,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,X7HyMhZNoso,,,,,X7HyMhZNoso,14,1,0.07142857142857142,0.007818630730104083,0.28837957100805284,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,Z6MFQCViBuw,,,,,Z6MFQCViBuw,24,2,0.08333333333333333,0.017724654806077905,0.24140297315032636,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,b8cTxDM8gDG,,,,,b8cTxDM8gDG,11,1,0.09090909090909091,0.009991460010694665,0.3529757976292187,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,e9zR4mvMWw7,,,,,e9zR4mvMWw7,18,3,0.16666666666666666,0.04928823056866328,0.38135655348968256,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,q9vSo1VnCiC,,,,,q9vSo1VnCiC,65,7,0.1076923076923077,0.04948137899988179,0.19982963846342242,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,rPc6DW4iMge,,,,,rPc6DW4iMge,62,7,0.11290322580645161,0.051945715889047464,0.2089176671714818,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,uNb9QFRL6hY,,,,,uNb9QFRL6hY,219,21,0.0958904109589041,0.062184254536189226,0.14018245931776108,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,wc2JMjhGNzB,,,,,wc2JMjhGNzB,102,14,0.13725490196078433,0.08089949409046407,0.21383226901613528,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,x8F5xyUWy9e,,,,,x8F5xyUWy9e,15,0,0.0,3.219414432372689e-05,0.15181666211439765,active_time_measurement_class=missing; no lead-time backfill
C1,校准一阶段,building,yqstnuAEVhm,,,,,yqstnuAEVhm,98,9,0.09183673469387756,0.04641820853162027,0.16088108937707546,active_time_measurement_class=missing; no lead-time backfill
