fold_id,design,n_train_tagged,n_test_tagged,train_labels,test_labels
view:pRbA3pwrgk9_2e5e98be62684eb8b3143fda3059ddde,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_4fe4474e9bf9429ea92d202bdea4dce5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_e0dc27df8b2d4484bde0f97284d4cdf7,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pRbA3pwrgk9_0dad4bd3fa7e4349a5325596c10d6fdf,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:pRbA3pwrgk9_3851376d4f84494ebdc080b34ddc0f5e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_ecd2d3d74f1244a19bab0131ca065c26,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pRbA3pwrgk9_ec8f8c12b70e4969ae24adb7031d9312,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pRbA3pwrgk9_3851376d4f84494ebdc080b34ddc0f5e,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:pa4otMbVnkk_d02457f6d5b84e8fb43b49a52c81c78e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_007d567cfff94aff8d850876914b9584,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_007d567cfff94aff8d850876914b9584,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_eac7bdc24b24474ba38b8b0b5acd62f6,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_78863f388bfc4e419e5d3454f1fecf3f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_0e800fa7378b455a8054fbd02497fa6e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_5cd7afbe84aa4a13a13b45c369e39731,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_0e800fa7378b455a8054fbd02497fa6e,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_78c162aad54a4b969d0b0813a86d43e4,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_23d65a083f87438a8b5298466e34d62d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_23d65a083f87438a8b5298466e34d62d,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_a1243ae1c9e7407794464678be846819,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_915273ca375f43be9306ce29b7724c46,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_25659e521aac49daadb7762ba87cb2b6,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_25659e521aac49daadb7762ba87cb2b6,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_b2bb0d47721a4f24af2c829bba560aa6,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_ae57bfaab09c44a48a384367f50f3bd8,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_3ad5d0784b1442b6a728bb7dec3d50e0,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_f750030380cb4bbe87e4bf3d31b63f94,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_3df9a5180b94479997b19a8823f31eab,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_7172b7e0aefe4e23a53449a4531ca5e3,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_3df9a5180b94479997b19a8823f31eab,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_d0777438896f4ba59dc36ba96ebb003f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_fd3034fe3cf6425ea2810f42656766cf,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_88c758f7e35244fd8f5693913f329805,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_447755d931aa401097d8c0952a22b17e,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_7be30830c80b4fb3a83d5f956c07e143,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_8d4d0f90d2b145648e952352535c0f50,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_56189c4a26dd486d91b853fc8a7ffb6b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_616baa976df7493c8b5d1516fa55aa75,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_56189c4a26dd486d91b853fc8a7ffb6b,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_82f4e9ccd0ef4351a3d814f1222b03cc,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
view:pa4otMbVnkk_b8245307c038459a9df432be2341ec27,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
view:pa4otMbVnkk_867c64cd8f474949bcd87100dc18c2d4,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
view:pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
view:pa4otMbVnkk_8d9a72e210cd480a897945c465e5cade,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
view:pa4otMbVnkk_e976f604378648b3bd1d1ed1e9638294,same_room_leave_view,5,1,"[0, 5, 0]","[0, 1, 0]"
room:supported_component:pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a,leave_supported_room_conservative,100,6,"[49, 35, 16]","[0, 6, 0]"
view:pa4otMbVnkk_a390863f6b5f4b9497580c29d4d7bbe9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:pa4otMbVnkk_9548771afcfd442a8dcb73d739a23b27,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:pa4otMbVnkk_f0397335d45f43c282646a8653918f86,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:pa4otMbVnkk_9548771afcfd442a8dcb73d739a23b27,leave_supported_room_conservative,100,0,"[49, 35, 16]","[0, 0, 0]"
view:q9vSo1VnCiC_a6560bae311a403a9bfe94e4c1c645f4,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:q9vSo1VnCiC_dc873df7717c43888a1cff13713fe146,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:q9vSo1VnCiC_6df6e29f6d1e4495b111d41b2e4e5cb9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:q9vSo1VnCiC_cefeb34bd9d04b4dac1189e24191c03f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:q9vSo1VnCiC_e58ef65f48d045e88b119261b96996c9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:q9vSo1VnCiC_cefeb34bd9d04b4dac1189e24191c03f,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,same_room_leave_view,2,1,"[2, 0, 0]","[1, 0, 0]"
view:rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,same_room_leave_view,2,1,"[2, 0, 0]","[1, 0, 0]"
view:rPc6DW4iMge_7316bf706e0d46368334c0c989210e09,same_room_leave_view,2,1,"[2, 0, 0]","[1, 0, 0]"
room:supported_component:rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe,leave_supported_room_conservative,103,3,"[46, 41, 16]","[3, 0, 0]"
view:rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:rPc6DW4iMge_bad24c9d90de493eb70e9af8383ee598,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:rPc6DW4iMge_4350d36797324601adba7351d09602d2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:rPc6DW4iMge_2c16cbd610cf4e1b92b2830f51c07e32,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:uNb9QFRL6hY_b73ae36f994747e196380b1cb71cf407,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_3450b3accb584493bf13be8e9554dbea,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_a728d2eef41b449f82357899de802dd3,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_d11f14ddecbe406681d4980365ea5a43,same_room_leave_view,11,0,"[0, 11, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_84722e58b32f4646acc12614994f835b,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_13a430466eb64e2087e7fb5acde7a398,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
view:uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,same_room_leave_view,10,1,"[0, 10, 0]","[0, 1, 0]"
room:supported_component:uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c,leave_supported_room_conservative,66,11,"[37, 21, 8]","[0, 11, 0]"
view:uNb9QFRL6hY_e0b8950793b447bd8b9f916e98e849d1,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32,same_room_leave_view,6,1,"[5, 1, 0]","[1, 0, 0]"
view:uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7,same_room_leave_view,6,1,"[6, 0, 0]","[0, 1, 0]"
room:supported_component:uNb9QFRL6hY_104d12b732794414a42edd37ac554bff,leave_supported_room_conservative,66,7,"[37, 21, 8]","[6, 1, 0]"
view:uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_28cd285e6d5545dda080d949bb00f1c0,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_daf1cf81c53b4e439e7e649fa9b41341,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:uNb9QFRL6hY_14f2a8bc76f24d2ea495369bfde2f653,leave_supported_room_conservative,66,0,"[37, 21, 8]","[0, 0, 0]"
view:uNb9QFRL6hY_2d80f7d125794c87aee34d9d46a78304,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:uNb9QFRL6hY_2d80f7d125794c87aee34d9d46a78304,leave_supported_room_conservative,66,0,"[37, 21, 8]","[0, 0, 0]"
view:uNb9QFRL6hY_4bdc9dcd921342d498e9d70a24481f2d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:uNb9QFRL6hY_4bdc9dcd921342d498e9d70a24481f2d,leave_supported_room_conservative,66,0,"[37, 21, 8]","[0, 0, 0]"
view:uNb9QFRL6hY_6a99c723d40b429e96a29c8ce7532d1d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_f8acfc899a4c49ddad71fdfcfd899b2f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:uNb9QFRL6hY_6a99c723d40b429e96a29c8ce7532d1d,leave_supported_room_conservative,66,0,"[37, 21, 8]","[0, 0, 0]"
view:wc2JMjhGNzB_48a93a3b61354385b30974c248c11ef2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_5b34120ed9c24e47a673426ea7ea7a07,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_026ce91a981c4de3bb9fd2daeb99ec2b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_25dffb87de434b119296fc0a02ede607,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:wc2JMjhGNzB_026ce91a981c4de3bb9fd2daeb99ec2b,leave_supported_room_conservative,92,0,"[40, 38, 14]","[0, 0, 0]"
view:wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,same_room_leave_view,4,1,"[0, 3, 1]","[0, 0, 1]"
view:wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,same_room_leave_view,4,1,"[0, 3, 1]","[0, 0, 1]"
view:wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d,same_room_leave_view,4,1,"[0, 2, 2]","[0, 1, 0]"
view:wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,same_room_leave_view,4,1,"[0, 2, 2]","[0, 1, 0]"
view:wc2JMjhGNzB_aeb3199e10354e45a4884bb185c03257,same_room_leave_view,4,1,"[0, 2, 2]","[0, 1, 0]"
room:supported_component:wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35,leave_supported_room_conservative,92,5,"[40, 38, 14]","[0, 3, 2]"
view:wc2JMjhGNzB_07fb6ea1434a451aa8dc27539ede0991,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_5c363f3933e84bb5aceb3899f997b6fb,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:wc2JMjhGNzB_07fb6ea1434a451aa8dc27539ede0991,leave_supported_room_conservative,92,0,"[40, 38, 14]","[0, 0, 0]"
view:wc2JMjhGNzB_6888c169680241f19a903ee49dac3655,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_ea42bf32a1984ae399c9f96d9b62b635,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_0caf634967404e889bf227539d7eaa0f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:wc2JMjhGNzB_0caf634967404e889bf227539d7eaa0f,leave_supported_room_conservative,92,0,"[40, 38, 14]","[0, 0, 0]"
view:wc2JMjhGNzB_6dca116f3be44ac89eb68038d832957b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_3949e4e00d354f79afea742a2b0599d2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:wc2JMjhGNzB_3949e4e00d354f79afea742a2b0599d2,leave_supported_room_conservative,92,0,"[40, 38, 14]","[0, 0, 0]"
view:wc2JMjhGNzB_818104cf87d045a18b4bf134ef76ec41,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:wc2JMjhGNzB_f741f370a16a403a8c758ff77be85a9c,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:wc2JMjhGNzB_818104cf87d045a18b4bf134ef76ec41,leave_supported_room_conservative,92,0,"[40, 38, 14]","[0, 0, 0]"
view:yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,leave_supported_room_conservative,102,0,"[45, 41, 16]","[0, 0, 0]"
view:yqstnuAEVhm_6440d94be92546fdab587df78fbea28b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_fc84c67a0ffd49cf8ffdc32df703bc86,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:yqstnuAEVhm_6440d94be92546fdab587df78fbea28b,leave_supported_room_conservative,102,0,"[45, 41, 16]","[0, 0, 0]"
view:yqstnuAEVhm_64ea2c01d6184c35a9575a3e585a9b75,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_703d93b8575b4c0ba99c285dea126401,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:yqstnuAEVhm_64ea2c01d6184c35a9575a3e585a9b75,leave_supported_room_conservative,102,0,"[45, 41, 16]","[0, 0, 0]"
view:yqstnuAEVhm_96960ce9646a41e4bc183d75327fe1c1,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:yqstnuAEVhm_96960ce9646a41e4bc183d75327fe1c1,leave_supported_room_conservative,102,0,"[45, 41, 16]","[0, 0, 0]"
view:zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:zsNo4HB9uLZ_38260e04f02546a6af3dcaf8689546a2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:zsNo4HB9uLZ_38260e04f02546a6af3dcaf8689546a2,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:zsNo4HB9uLZ_b6ca0cc195da4688ba67fa53f0345b98,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
