unit,key,code,building,config,qualified_pool,valid_teams,validation_workers
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,QT_2,19,3876,W034|W029|W014|W032
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,QT_3,19,3876,W034|W029|W014|W032
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,Q_2,19,3876,W034|W029|W014|W032
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,Q_3,19,3876,W034|W029|W014|W032
171,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97|manual,uNb9QFRL6hY-45,uNb9QFRL6hY,TRI_3,16,1820,W034|W029|W014|W032
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,QTSB_3,17,2380,W035|W018|W032|W010
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,QT_2,17,2380,W035|W018|W032|W010
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,QT_3,17,2380,W035|W018|W032|W010
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,Q_2,18,3060,W035|W018|W032|W010
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,Q_3,18,3060,W035|W018|W032|W010
172,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5|manual,uNb9QFRL6hY-47,uNb9QFRL6hY,TRI_3,14,1001,W035|W018|W032|W010
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,QTSB_3,18,3060,W035|W029|W034|W013
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,QT_2,18,3060,W035|W029|W034|W013
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,QT_3,18,3060,W035|W029|W034|W013
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,Q_2,19,3876,W035|W029|W034|W013
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,Q_3,19,3876,W035|W029|W034|W013
173,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8|manual,uNb9QFRL6hY-50,uNb9QFRL6hY,TRI_3,16,1820,W035|W029|W034|W013
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,QTSB_3,16,1820,W013|W002|W028|W010
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,QT_2,16,1820,W013|W002|W028|W010
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,QT_3,16,1820,W013|W002|W028|W010
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,Q_2,17,2380,W013|W002|W028|W010
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,Q_3,17,2380,W013|W002|W028|W010
179,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d|manual,uNb9QFRL6hY-60,uNb9QFRL6hY,TRI_3,13,715,W013|W002|W028|W010
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,QTSB_3,19,3876,W001|W036|W010|W021
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,QT_2,19,3876,W001|W036|W010|W021
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,QT_3,19,3876,W001|W036|W010|W021
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,Q_2,20,4845,W001|W036|W010|W021
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,Q_3,20,4845,W001|W036|W010|W021
180,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a|manual,uNb9QFRL6hY-63,uNb9QFRL6hY,TRI_3,15,1365,W001|W036|W010|W021
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,QTSB_3,19,3876,W021|W010|W015|W035
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,QT_2,19,3876,W021|W010|W015|W035
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,QT_3,19,3876,W021|W010|W015|W035
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,Q_2,20,4845,W021|W010|W015|W035
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,Q_3,20,4845,W021|W010|W015|W035
181,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7|manual,uNb9QFRL6hY-65,uNb9QFRL6hY,TRI_3,16,1820,W021|W010|W015|W035
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,QTSB_3,19,3876,W035|W008|W015|W031
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,QT_2,19,3876,W035|W008|W015|W031
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,QT_3,19,3876,W035|W008|W015|W031
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,Q_2,20,4845,W035|W008|W015|W031
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,Q_3,20,4845,W035|W008|W015|W031
188,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384|manual,uNb9QFRL6hY-70,uNb9QFRL6hY,TRI_3,17,2380,W035|W008|W015|W031
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,QTSB_3,20,4845,W034|W011|W030|W014
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,QT_2,20,4845,W034|W011|W030|W014
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,QT_3,20,4845,W034|W011|W030|W014
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,Q_2,20,4845,W034|W011|W030|W014
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,Q_3,20,4845,W034|W011|W030|W014
194,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31|manual,wc2JMjhGNzB-15,wc2JMjhGNzB,TRI_3,17,2380,W034|W011|W030|W014
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,QTSB_3,18,3060,W027|W033|W032|W037
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,QT_2,18,3060,W027|W033|W032|W037
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,QT_3,18,3060,W027|W033|W032|W037
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,Q_2,19,3876,W027|W033|W032|W037
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,Q_3,19,3876,W027|W033|W032|W037
203,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6|manual,wc2JMjhGNzB-53,wc2JMjhGNzB,TRI_3,14,1001,W027|W033|W032|W037
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,QTSB_3,19,3876,W031|W028|W013|W029
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,QT_2,19,3876,W031|W028|W013|W029
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,QT_3,19,3876,W031|W028|W013|W029
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,Q_2,20,4845,W031|W028|W013|W029
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,Q_3,20,4845,W031|W028|W013|W029
207,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e|manual,wc2JMjhGNzB-59,wc2JMjhGNzB,TRI_3,16,1820,W031|W028|W013|W029
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,QTSB_3,19,3876,W034|W015|W031|W014
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,QT_2,19,3876,W034|W015|W031|W014
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,QT_3,19,3876,W034|W015|W031|W014
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,Q_2,19,3876,W034|W015|W031|W014
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,Q_3,19,3876,W034|W015|W031|W014
208,wc2JMjhGNzB_dda6efcba51c40de8552408953719515|manual,wc2JMjhGNzB-60,wc2JMjhGNzB,TRI_3,17,2380,W034|W015|W031|W014
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,QTSB_3,20,4845,W028|W008|W014|W021
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,QT_2,20,4845,W028|W008|W014|W021
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,QT_3,20,4845,W028|W008|W014|W021
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,Q_2,20,4845,W028|W008|W014|W021
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,Q_3,20,4845,W028|W008|W014|W021
214,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23|manual,x8F5xyUWy9e-09,x8F5xyUWy9e,TRI_3,16,1820,W028|W008|W014|W021
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,QTSB_3,19,3876,W011|W001|W036|W014
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,QT_2,19,3876,W011|W001|W036|W014
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,QT_3,19,3876,W011|W001|W036|W014
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,Q_2,19,3876,W011|W001|W036|W014
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,Q_3,19,3876,W011|W001|W036|W014
217,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|manual,yqstnuAEVhm-04,yqstnuAEVhm,TRI_3,15,1365,W011|W001|W036|W014
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,QTSB_3,18,3060,W006|W037|W036|W001
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,QT_2,18,3060,W006|W037|W036|W001
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,QT_3,18,3060,W006|W037|W036|W001
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,Q_2,19,3876,W006|W037|W036|W001
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,Q_3,19,3876,W006|W037|W036|W001
224,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2|manual,yqstnuAEVhm-25,yqstnuAEVhm,TRI_3,14,1001,W006|W037|W036|W001
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,QTSB_3,19,3876,W031|W021|W001|W027
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,QT_2,19,3876,W031|W021|W001|W027
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,QT_3,19,3876,W031|W021|W001|W027
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,Q_2,20,4845,W031|W021|W001|W027
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,Q_3,20,4845,W031|W021|W001|W027
225,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599|manual,yqstnuAEVhm-26,yqstnuAEVhm,TRI_3,16,1820,W031|W021|W001|W027
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,QTSB_3,15,1365,W034|W021|W012|W032
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,QT_2,15,1365,W034|W021|W012|W032
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,QT_3,15,1365,W034|W021|W012|W032
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,Q_2,16,1820,W034|W021|W012|W032
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,Q_3,16,1820,W034|W021|W012|W032
229,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|manual,yqstnuAEVhm-31,yqstnuAEVhm,TRI_3,14,1001,W034|W021|W012|W032
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,QTSB_3,19,3876,W010|W030|W032|W002
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,QT_2,19,3876,W010|W030|W032|W002
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,QT_3,19,3876,W010|W030|W032|W002
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,Q_2,20,4845,W010|W030|W032|W002
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,Q_3,20,4845,W010|W030|W032|W002
230,yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65|manual,yqstnuAEVhm-32,yqstnuAEVhm,TRI_3,15,1365,W010|W030|W032|W002
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,QTSB_3,19,3876,W013|W031|W029|W012
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,QT_2,19,3876,W013|W031|W029|W012
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,QT_3,19,3876,W013|W031|W029|W012
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,Q_2,20,4845,W013|W031|W029|W012
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,Q_3,20,4845,W013|W031|W029|W012
231,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5|manual,yqstnuAEVhm-34,yqstnuAEVhm,TRI_3,17,2380,W013|W031|W029|W012
