group,building,source_review_state,source_physical_same,registered_images,current_manual_images,current_high_support_manual_images,image_ids,high_support_ids,independent_room_identity_not_newly_adjudicated
G194,uNb9QFRL6hY,viewed_per_user_statement,待定,2,1,1,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,True
G195,uNb9QFRL6hY,explicit_confirmed,支持,2,0,0,,,True
G196,uNb9QFRL6hY,explicit_discussion,支持,3,1,0,uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,,True
G197,uNb9QFRL6hY,viewed_per_user_statement,支持,2,1,1,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,True
G198,uNb9QFRL6hY,viewed_per_user_statement,不支持,2,1,1,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,True
G199,uNb9QFRL6hY,explicit_confirmed,支持,2,0,0,,,True
G200,uNb9QFRL6hY,explicit_confirmed,支持,2,1,1,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,True
G201,wc2JMjhGNzB,explicit_discussion,支持,6,1,0,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,,True
G202,wc2JMjhGNzB,explicit_discussion,支持,5,2,1,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd|wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,True
G203,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,1,0,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,,True
G204,wc2JMjhGNzB,viewed_per_user_statement,待定,2,1,0,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,,True
G205,wc2JMjhGNzB,explicit_confirmed,支持,5,2,0,wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee|wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,,True
G206,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G207,wc2JMjhGNzB,explicit_confirmed,支持,4,1,1,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,True
G208,wc2JMjhGNzB,viewed_per_user_statement,支持,2,0,0,,,True
G209,wc2JMjhGNzB,explicit_discussion,支持,3,1,0,wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,,True
G210,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G211,wc2JMjhGNzB,explicit_confirmed,支持,3,0,0,,,True
G212,wc2JMjhGNzB,explicit_confirmed,支持,3,0,0,,,True
G213,wc2JMjhGNzB,viewed_per_user_statement,待定,2,0,0,,,True
G214,wc2JMjhGNzB,explicit_discussion,支持,4,0,0,,,True
G215,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G216,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G217,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,1,1,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,True
G218,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,1,0,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,,True
G219,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G220,wc2JMjhGNzB,viewed_per_user_statement,待定,2,0,0,,,True
G221,wc2JMjhGNzB,viewed_per_user_statement,支持,2,0,0,,,True
G222,wc2JMjhGNzB,viewed_per_user_statement,支持,4,0,0,,,True
G223,wc2JMjhGNzB,viewed_per_user_statement,支持,2,1,0,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,,True
G224,wc2JMjhGNzB,viewed_per_user_statement,支持,2,0,0,,,True
G225,wc2JMjhGNzB,explicit_confirmed,支持,4,0,0,,,True
G226,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G227,wc2JMjhGNzB,viewed_per_user_statement,支持,2,0,0,,,True
G228,wc2JMjhGNzB,viewed_per_user_statement,支持,2,0,0,,,True
G229,wc2JMjhGNzB,viewed_per_user_statement,不支持,2,0,0,,,True
G230,wc2JMjhGNzB,viewed_per_user_statement,支持,2,1,1,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,True
G231,x8F5xyUWy9e,viewed_per_user_statement,支持,2,2,1,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76|x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,True
G232,x8F5xyUWy9e,viewed_per_user_statement,不支持,2,1,0,x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,,True
G233,x8F5xyUWy9e,viewed_per_user_statement,不支持,2,1,0,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,,True
G234,x8F5xyUWy9e,viewed_per_user_statement,支持,4,1,0,x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,,True
G235,x8F5xyUWy9e,viewed_per_user_statement,支持,4,1,0,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,,True
G236,yqstnuAEVhm,explicit_discussion,支持,5,2,0,yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089|yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,,True
G237,yqstnuAEVhm,explicit_confirmed,支持,4,1,1,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,True
G238,yqstnuAEVhm,viewed_per_user_statement,不支持,2,1,0,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,,True
G239,yqstnuAEVhm,viewed_per_user_statement,不支持,2,0,0,,,True
G240,yqstnuAEVhm,viewed_per_user_statement,不支持,2,1,1,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,True
G241,yqstnuAEVhm,viewed_per_user_statement,支持,2,2,2,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56|yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,True
G242,yqstnuAEVhm,viewed_per_user_statement,不支持,2,1,0,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,,True
G243,yqstnuAEVhm,explicit_discussion,支持,3,2,1,yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1|yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,True
G244,yqstnuAEVhm,viewed_per_user_statement,支持,2,1,0,yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,,True
G245,yqstnuAEVhm,viewed_per_user_statement,支持,4,4,2,yqstnuAEVhm_48447297e8444171a5db34ccf38bc229|yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d|yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058|yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,True
G246,yqstnuAEVhm,explicit_confirmed,支持,2,0,0,,,True
G247,yqstnuAEVhm,viewed_per_user_statement,待定,2,0,0,,,True
G248,yqstnuAEVhm,viewed_per_user_statement,待定,2,0,0,,,True
G249,yqstnuAEVhm,viewed_per_user_statement,支持,2,0,0,,,True
G250,yqstnuAEVhm,viewed_per_user_statement,支持,2,0,0,,,True
G251,yqstnuAEVhm,viewed_per_user_statement,待定,2,0,0,,,True
G252,yqstnuAEVhm,viewed_per_user_statement,支持,2,0,0,,,True
G253,yqstnuAEVhm,viewed_per_user_statement,支持,3,2,0,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040|yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,,True
G254,zsNo4HB9uLZ,viewed_per_user_statement,不支持,2,0,0,,,True
G255,zsNo4HB9uLZ,viewed_per_user_statement,不支持,2,1,0,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,,True
G256,zsNo4HB9uLZ,viewed_per_user_statement,支持,3,2,0,zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602|zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,,True
G257,zsNo4HB9uLZ,viewed_per_user_statement,支持,2,1,0,zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,,True
G258,zsNo4HB9uLZ,viewed_per_user_statement,不支持,2,0,0,,,True
G259,zsNo4HB9uLZ,explicit_confirmed,支持,2,0,0,,,True
G260,zsNo4HB9uLZ,explicit_confirmed,支持,2,1,0,zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,,True
