task_id,base_task_id,image_stem,planned_project_name,task_code,inner_id,task_url,intended_project_group,appears_in_assignment_manual,appears_in_assignment_semi,appears_in_worker_distribution,mapping_status
B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,C2_reserve_draft_only,R-001,1,planned://C2_reserve_draft_only/1,Calibration_reserve,false,false,false,planned_c2_only
485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,C2_reserve_draft_only,R-002,2,planned://C2_reserve_draft_only/2,Calibration_reserve,false,false,false,planned_c2_only
590,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b,wc2JMjhGNzB_12757e972ea64bbfbeb14f7cf5ccaf8b,C2_reserve_draft_only,R-003,3,planned://C2_reserve_draft_only/3,Calibration_reserve,false,false,false,planned_c2_only
kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,C2_reserve_draft_only,R-004,4,planned://C2_reserve_draft_only/4,Calibration_reserve,false,false,false,planned_c2_only
654,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,yqstnuAEVhm_700c8b94ab594ac1910e650da9f93c18,C2_reserve_draft_only,R-005,5,planned://C2_reserve_draft_only/5,Calibration_reserve,false,false,false,planned_c2_only
uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,uNb9QFRL6hY_6adff04b1e974c72a81b54fa8f15e7a2,C2_reserve_draft_only,R-006,6,planned://C2_reserve_draft_only/6,Calibration_reserve,false,false,false,planned_c2_only
646,q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3,q9vSo1VnCiC_ca6944f5dd334193bb86058ba5ab5dc3,C2_reserve_draft_only,R-007,7,planned://C2_reserve_draft_only/7,Calibration_reserve,false,false,false,planned_c2_only
514,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573,wc2JMjhGNzB_649ef3674e0f4e7c9eac67f94d237573,C2_reserve_draft_only,R-008,8,planned://C2_reserve_draft_only/8,Calibration_reserve,false,false,false,planned_c2_only
rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a,C2_reserve_draft_only,R-009,9,planned://C2_reserve_draft_only/9,Calibration_reserve,false,false,false,planned_c2_only
692,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71,q9vSo1VnCiC_60bae76d896345bfa783ebdd78f1cc71,C2_reserve_draft_only,R-010,10,planned://C2_reserve_draft_only/10,Calibration_reserve,false,false,false,planned_c2_only
702,wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515,wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515,C2_reserve_draft_only,R-011,11,planned://C2_reserve_draft_only/11,Calibration_reserve,false,false,false,planned_c2_only
651,x8F5xyUWy9e_9077f8ffceb943808934837db41e5616,x8F5xyUWy9e_9077f8ffceb943808934837db41e5616,C2_reserve_draft_only,R-012,12,planned://C2_reserve_draft_only/12,Calibration_reserve,false,false,false,planned_c2_only
617,rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a,rPc6DW4iMge_e7f5cf7434824a0ab0b4cc060e863c9a,C2_reserve_draft_only,R-013,13,planned://C2_reserve_draft_only/13,Calibration_reserve,false,false,false,planned_c2_only
