candidate,building,codes,scene_counts,manual_counts,semi_counts,outside_low_count_targets,zero_saved_targets,one_two_targets,new_to_all_english_targets,difficulty_similarity,old_priority,review_state,has_high_history,room_views,overlap_note,image_ids
G225,wc2JMjhGNzB,"[""wc2JMjhGNzB-31"", ""wc2JMjhGNzB-47"", ""wc2JMjhGNzB-55"", ""wc2JMjhGNzB-63""]","{""起居与休闲"": 4}","[0, 0, 0, 0]","[0, 0, 0, 0]","[""wc2JMjhGNzB-31"", ""wc2JMjhGNzB-47"", ""wc2JMjhGNzB-55"", ""wc2JMjhGNzB-63""]","[""wc2JMjhGNzB-31"", ""wc2JMjhGNzB-47"", ""wc2JMjhGNzB-55"", ""wc2JMjhGNzB-63""]",[],"[""wc2JMjhGNzB-31"", ""wc2JMjhGNzB-47"", ""wc2JMjhGNzB-55"", ""wc2JMjhGNzB-63""]",可能出现小幅歧义,基础候选,explicit_confirmed,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""wc2JMjhGNzB_5b147d7f689a410baca131f29c8a9515"", ""wc2JMjhGNzB_964c4d82ac6c428bb3dc3325ad8c7ec9"", ""wc2JMjhGNzB_c7e4c175f9b347cf9256fa7e291f26d9"", ""wc2JMjhGNzB_e9899e516c784fe3b8e78354ba4d49c4""]"
G235,x8F5xyUWy9e,"[""x8F5xyUWy9e-03"", ""x8F5xyUWy9e-04"", ""x8F5xyUWy9e-05"", ""x8F5xyUWy9e-11""]","{""特殊用途"": 4}","[5, 0, 0, 0]","[0, 0, 0, 0]","[""x8F5xyUWy9e-03"", ""x8F5xyUWy9e-04"", ""x8F5xyUWy9e-05"", ""x8F5xyUWy9e-11""]","[""x8F5xyUWy9e-04"", ""x8F5xyUWy9e-05"", ""x8F5xyUWy9e-11""]",[],"[""x8F5xyUWy9e-04"", ""x8F5xyUWy9e-05"", ""x8F5xyUWy9e-11""]",可能出现小幅歧义,基础候选,viewed_per_user_statement,False,4,候选子集可能互有重叠，不计为独立房间总数,"[""x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6"", ""x8F5xyUWy9e_46b120dde4004bf9ada90cf967c0585b"", ""x8F5xyUWy9e_59d9c66f57b14062a49e17e8f1da2151"", ""x8F5xyUWy9e_c66bbecc057b41a8bb2eaa76c6f072a2""]"
G099,e9zR4mvMWw7,"[""e9zR4mvMWw7-20"", ""e9zR4mvMWw7-34"", ""e9zR4mvMWw7-37""]","{""null"": 2, ""起居与休闲"": 1}","[0, 0, 0]","[0, 0, 0]","[""e9zR4mvMWw7-20"", ""e9zR4mvMWw7-34"", ""e9zR4mvMWw7-37""]","[""e9zR4mvMWw7-20"", ""e9zR4mvMWw7-34"", ""e9zR4mvMWw7-37""]",[],"[""e9zR4mvMWw7-20"", ""e9zR4mvMWw7-34"", ""e9zR4mvMWw7-37""]",可能出现小幅歧义,基础候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777"", ""e9zR4mvMWw7_c904c55a5d0e420bbd6e4e030b9fe5b4"", ""e9zR4mvMWw7_f624a40d100144e696a39abe258ee090""]"
G059,VFuaQ6m2Qom,"[""VFuaQ6m2Qom-03"", ""VFuaQ6m2Qom-05"", ""VFuaQ6m2Qom-06""]","{""卧室"": 3}","[2, 0, 0]","[0, 0, 0]","[""VFuaQ6m2Qom-03"", ""VFuaQ6m2Qom-05"", ""VFuaQ6m2Qom-06""]","[""VFuaQ6m2Qom-05"", ""VFuaQ6m2Qom-06""]","[""VFuaQ6m2Qom-03""]","[""VFuaQ6m2Qom-05"", ""VFuaQ6m2Qom-06""]",可能出现小幅歧义,优先候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e"", ""VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916"", ""VFuaQ6m2Qom_93510fabb581438887c1d3e65093b7ae""]"
G104,jh4fc5c5qoQ,"[""jh4fc5c5qoQ-03"", ""jh4fc5c5qoQ-11"", ""jh4fc5c5qoQ-13""]","{""厨房与用餐"": 3}","[0, 0, 1]","[0, 0, 0]","[""jh4fc5c5qoQ-03"", ""jh4fc5c5qoQ-11"", ""jh4fc5c5qoQ-13""]","[""jh4fc5c5qoQ-03"", ""jh4fc5c5qoQ-11""]","[""jh4fc5c5qoQ-13""]","[""jh4fc5c5qoQ-03"", ""jh4fc5c5qoQ-11""]",可能出现小幅歧义,基础候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""jh4fc5c5qoQ_3182b6eba9ce405f9e1c0af86cc6b862"", ""jh4fc5c5qoQ_97739a403b984dcd8253741a073b18dd"", ""jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c""]"
G080,ZMojNkEp431,"[""ZMojNkEp431-01"", ""ZMojNkEp431-02""]","{""工作与学习"": 2}","[0, 0]","[0, 0]","[""ZMojNkEp431-01"", ""ZMojNkEp431-02""]","[""ZMojNkEp431-01"", ""ZMojNkEp431-02""]",[],"[""ZMojNkEp431-01"", ""ZMojNkEp431-02""]",可能出现小幅歧义,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059"", ""ZMojNkEp431_f1bb3acca4ed4aada739514b1f2a44bd""]"
G083,b8cTxDM8gDG,"[""b8cTxDM8gDG-05"", ""b8cTxDM8gDG-12""]","{""null"": 2}","[0, 0]","[0, 0]","[""b8cTxDM8gDG-05"", ""b8cTxDM8gDG-12""]","[""b8cTxDM8gDG-05"", ""b8cTxDM8gDG-12""]",[],"[""b8cTxDM8gDG-05"", ""b8cTxDM8gDG-12""]",可能出现小幅歧义,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""b8cTxDM8gDG_3638da5864ab4d2aa722479d9efa8b71"", ""b8cTxDM8gDG_bd2d16e81707455eacd72cda7eb5d3d5""]"
G134,pa4otMbVnkk,"[""pa4otMbVnkk-05"", ""pa4otMbVnkk-47""]","{""起居与休闲"": 2}","[2, 0]","[0, 0]","[""pa4otMbVnkk-05"", ""pa4otMbVnkk-47""]","[""pa4otMbVnkk-47""]","[""pa4otMbVnkk-05""]","[""pa4otMbVnkk-05"", ""pa4otMbVnkk-47""]",可能出现小幅歧义,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""pa4otMbVnkk_270f6920ec0f48c391bca974b356bc3b"", ""pa4otMbVnkk_faa9b3c493a541d5bcaae52f760b6807""]"
G168,rPc6DW4iMge,"[""rPc6DW4iMge-08"", ""rPc6DW4iMge-10""]","{""卫浴"": 2}","[0, 0]","[0, 0]","[""rPc6DW4iMge-08"", ""rPc6DW4iMge-10""]","[""rPc6DW4iMge-08"", ""rPc6DW4iMge-10""]",[],"[""rPc6DW4iMge-08"", ""rPc6DW4iMge-10""]",可能出现小幅歧义,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""rPc6DW4iMge_1b4824ffdfc44d08aa648e90241289e4"", ""rPc6DW4iMge_2264f5b2a6e8450ab090e278ea8d1e0a""]"
G249,yqstnuAEVhm,"[""yqstnuAEVhm-12"", ""yqstnuAEVhm-36""]","{""卫浴"": 2}","[0, 0]","[0, 0]","[""yqstnuAEVhm-12"", ""yqstnuAEVhm-36""]","[""yqstnuAEVhm-12"", ""yqstnuAEVhm-36""]",[],"[""yqstnuAEVhm-12"", ""yqstnuAEVhm-36""]",可能出现小幅歧义,基础候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""yqstnuAEVhm_6440d94be92546fdab587df78fbea28b"", ""yqstnuAEVhm_fc84c67a0ffd49cf8ffdc32df703bc86""]"
G046,S9hNv5qa7GM,"[""S9hNv5qa7GM-05"", ""S9hNv5qa7GM-12"", ""S9hNv5qa7GM-21""]","{""卫浴"": 3}","[2, 2, 3]","[0, 0, 0]","[""S9hNv5qa7GM-05"", ""S9hNv5qa7GM-12"", ""S9hNv5qa7GM-21""]",[],"[""S9hNv5qa7GM-05"", ""S9hNv5qa7GM-12""]","[""S9hNv5qa7GM-12""]",可能出现小幅歧义,基础候选,explicit_confirmed,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee"", ""S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02"", ""S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a""]"
G117,jtcxE69GiFV,"[""jtcxE69GiFV-25"", ""jtcxE69GiFV-26"", ""jtcxE69GiFV-28""]","{""起居与休闲"": 3}","[0, 4, 4]","[0, 0, 0]","[""jtcxE69GiFV-25"", ""jtcxE69GiFV-26"", ""jtcxE69GiFV-28""]","[""jtcxE69GiFV-25""]",[],"[""jtcxE69GiFV-25""]",可能出现小幅歧义,基础候选,explicit_discussion,False,3,候选子集可能互有重叠，不计为独立房间总数,"[""jtcxE69GiFV_c6baa663ada7439f9a409a86c7fd809b"", ""jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1"", ""jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e""]"
G009,7y3sRwLe3Va,"[""7y3sRwLe3Va-03"", ""7y3sRwLe3Va-07""]","{""开放复合空间"": 2}","[5, 0]","[0, 0]","[""7y3sRwLe3Va-03"", ""7y3sRwLe3Va-07""]","[""7y3sRwLe3Va-07""]",[],"[""7y3sRwLe3Va-07""]",可能出现小幅歧义,基础候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211"", ""7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73""]"
G016,7y3sRwLe3Va,"[""7y3sRwLe3Va-14"", ""7y3sRwLe3Va-26""]","{""null"": 2}","[0, 5]","[0, 0]","[""7y3sRwLe3Va-14"", ""7y3sRwLe3Va-26""]","[""7y3sRwLe3Va-14""]",[],"[""7y3sRwLe3Va-14""]",可能出现小幅歧义,优先候选,explicit_confirmed,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a"", ""7y3sRwLe3Va_fdab6422162e49db822a37178ab70481""]"
G067,X7HyMhZNoso,"[""X7HyMhZNoso-05"", ""X7HyMhZNoso-26""]","{""null"": 2}","[0, 0]","[24, 0]","[""X7HyMhZNoso-05"", ""X7HyMhZNoso-26""]","[""X7HyMhZNoso-26""]",[],"[""X7HyMhZNoso-26""]",可能出现小幅歧义,优先候选,viewed_per_user_statement,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a"", ""X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b""]"
G092,e9zR4mvMWw7,"[""e9zR4mvMWw7-06"", ""e9zR4mvMWw7-09""]","{""厨房与用餐"": 2}","[0, 6]","[0, 0]","[""e9zR4mvMWw7-06"", ""e9zR4mvMWw7-09""]","[""e9zR4mvMWw7-06""]",[],"[""e9zR4mvMWw7-06""]",可能出现小幅歧义,基础候选,explicit_discussion,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""e9zR4mvMWw7_18653fa3d6ba4f82889237201ee07d11"", ""e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8""]"
G108,jh4fc5c5qoQ,"[""jh4fc5c5qoQ-06"", ""jh4fc5c5qoQ-12""]","{""卫浴"": 2}","[0, 2]","[0, 0]","[""jh4fc5c5qoQ-06"", ""jh4fc5c5qoQ-12""]","[""jh4fc5c5qoQ-06""]","[""jh4fc5c5qoQ-12""]","[""jh4fc5c5qoQ-06""]",可能出现小幅歧义,基础候选,explicit_discussion,False,2,候选子集可能互有重叠，不计为独立房间总数,"[""jh4fc5c5qoQ_5ce75bcca20d46a8adba099e08a36c8e"", ""jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066""]"
