image_id,condition,axis,observed_people,qualified_target_people,unknown_or_unqualified_people
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,manual,T,23,22,1
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,manual,Q,5,5,0
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,manual,T,5,5,0
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,manual,Q,5,5,0
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,manual,T,5,5,0
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,manual,Q,5,5,0
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,manual,T,5,5,0
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,Q,6,6,0
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,manual,T,6,5,1
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,semi,Q,4,4,0
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,semi,T,4,4,0
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,Q,5,5,0
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,manual,T,5,5,0
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,Q,4,4,0
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,semi,T,4,4,0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,manual,Q,5,5,0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,manual,T,5,5,0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,semi,Q,5,5,0
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,semi,T,5,5,0
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,Q,23,23,0
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,manual,T,23,22,1
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,Q,24,24,0
uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,manual,T,24,23,1
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,Q,23,23,0
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,manual,T,23,22,1
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,Q,6,6,0
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,manual,T,6,5,1
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,Q,6,6,0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,T,6,5,1
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,semi,Q,4,4,0
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,semi,T,4,4,0
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,Q,24,24,0
uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,semi,T,24,23,1
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,Q,23,23,0
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,manual,T,23,22,1
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,Q,24,24,0
uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,manual,T,24,23,1
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,Q,24,24,0
uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual,T,24,23,1
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,manual,Q,5,5,0
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,manual,T,5,5,0
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,manual,Q,5,5,0
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,manual,T,5,5,0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,manual,Q,5,5,0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,manual,T,5,5,0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,semi,Q,5,5,0
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,semi,T,5,4,1
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,manual,Q,5,5,0
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,manual,T,5,5,0
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,semi,Q,4,4,0
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,semi,T,4,4,0
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,Q,24,24,0
uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,T,24,23,1
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,Q,5,5,0
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,T,5,5,0
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,manual,Q,5,5,0
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,manual,T,5,5,0
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,manual,Q,5,5,0
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,manual,T,5,5,0
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,manual,Q,5,5,0
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,manual,T,5,5,0
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,manual,Q,5,5,0
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,manual,T,5,5,0
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,Q,24,24,0
wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,T,24,23,1
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,Q,24,24,0
wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,semi,T,24,23,1
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,semi,Q,24,24,0
wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,semi,T,24,23,1
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,Q,6,6,0
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,manual,T,6,5,1
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,Q,6,6,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,manual,T,6,6,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,Q,4,4,0
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,semi,T,4,4,0
wc2JMjhGNzB_77962388887942148ee65c2892600e02,semi,Q,24,24,0
wc2JMjhGNzB_77962388887942148ee65c2892600e02,semi,T,24,23,1
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,Q,7,7,0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,manual,T,7,7,0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,semi,Q,5,5,0
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,semi,T,5,4,1
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,Q,23,23,0
wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,manual,T,23,22,1
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,manual,Q,5,5,0
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,manual,T,5,5,0
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,semi,Q,4,4,0
wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,semi,T,4,4,0
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,Q,24,24,0
wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,semi,T,24,23,1
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,Q,24,24,0
wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,T,24,23,1
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,Q,23,23,0
wc2JMjhGNzB_dda6efcba51c40de8552408953719515,manual,T,23,22,1
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,Q,5,5,0
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,manual,T,5,5,0
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,Q,4,4,0
wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,semi,T,4,4,0
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,manual,Q,5,5,0
x8F5xyUWy9e_1be9a97aada84e4795f64583ac0e3b76,manual,T,5,5,0
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,manual,Q,5,5,0
x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,manual,T,5,5,0
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,manual,Q,5,5,0
x8F5xyUWy9e_9926b38bd87e44e292d9c375050dd17d,manual,T,5,5,0
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,Q,24,24,0
x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual,T,24,23,1
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,manual,Q,5,5,0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,manual,T,5,5,0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,semi,Q,5,5,0
yqstnuAEVhm_08e2145b15fc4d2497c084af41dc7089,semi,T,5,4,1
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,manual,Q,23,23,0
yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,manual,T,23,22,1
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,Q,6,6,0
yqstnuAEVhm_2f8c1f8ea7364f67b1c5fe2be2750257,manual,T,6,5,1
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,Q,6,6,0
yqstnuAEVhm_30f3ce4575234a7ba5ff97797f059ae1,manual,T,6,5,1
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,manual,Q,5,5,0
yqstnuAEVhm_4642492bb42d40debb1a3bad0ea7a24f,manual,T,5,5,0
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,Q,6,6,0
yqstnuAEVhm_48447297e8444171a5db34ccf38bc229,manual,T,6,5,1
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,manual,Q,5,5,0
yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,manual,T,5,5,0
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,Q,23,23,0
yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,manual,T,23,22,1
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual,Q,24,24,0
yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599,manual,T,24,23,1
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,manual,Q,5,5,0
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,manual,T,5,5,0
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,semi,Q,4,4,0
yqstnuAEVhm_b26ae45c6c12443cbcfc3997f2e63347,semi,T,4,4,0
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,manual,Q,5,5,0
yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,manual,T,5,5,0
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,Q,24,24,0
yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,T,24,23,1
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,Q,24,24,0
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,T,24,23,1
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,Q,24,24,0
yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual,T,24,23,1
zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,manual,Q,1,1,0
zsNo4HB9uLZ_2caadd7bc71c43d5ad10f4e7f10a3455,manual,T,1,1,0
zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,manual,Q,4,4,0
zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,manual,T,4,4,0
zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,manual,Q,4,4,0
zsNo4HB9uLZ_65eefaf93e6249908e6389eb4eabf0f5,manual,T,4,4,0
zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,manual,Q,2,2,0
zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,manual,T,2,2,0
zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,manual,Q,4,4,0
zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,manual,T,4,4,0
zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,manual,Q,2,2,0
zsNo4HB9uLZ_faad06c7cb2b4a6f9220e7f6f87c800b,manual,T,2,2,0
